"""ABC040319""",1,KT21,5.4375
"""ABC040319""",2,KT11,5.4375
"""ABC040319""",3,KT22,5.4375
"""ABC040319""",4,KT12,5.4375
"""ABC083813""",1,KT31,7.125
"""BKT048798""",1,CN1,6.3125
"""BKT048798""",2,KT11,6.3125
"""BKT048798""",3,KT22,6.3125
"""BKT048798""",4,CN2,6.3125
"""CON061038""",1,KT22,7.5
"""CON061038""",2,KT21,7.5
"""CON061038""",3,KT51,7.83333333333333
"""CON061038""",4,CN2,7.5
"""TMA033933""",1,KT11,6.0625
"""TMA033933""",2,KT21,6.0625
"""TMA033933""",3,CN2,6.0625
"""BKT010028""",1,CN3,7.625
"""TLA037713""",1,KT21,6.875
"""TLA037713""",2,CN2,6.875
"""TMA075814""",1,KT12,7.75
"""TMA075814""",2,KT14,7.75
"""TMA075814""",3,KT21,7.75
"""TMA075814""",4,CN1,7.75
"""TMA087242""",1,QT11,6.41666666666667
"""SPB069023""",1,KT51,7.08333333333333
"""SPB069023""",2,KT41,7.08333333333333
"""SPB069023""",3,KT21,7.0625
"""SPB069023""",4,KT31,7.0625
"""CON019353""",1,KT12,6.0625
"""CON019353""",2,KT21,6.0625
"""CON019353""",3,KT31,6.0625
"""CON019353""",4,KT22,6.0625
"""SPB064112""",1,KT21,6.125
"""SPB064112""",2,CN1,6.125
"""SPB064112""",3,CN2,6.125
"""SPB064112""",4,KT12,6.125
"""TMA076773""",1,KT31,6.3125
"""TMA076773""",2,KT21,6.3125
"""TMA076773""",3,KT22,6.3125
"""TMA076773""",4,CN1,6.3125
"""TMA030019""",1,KT31,6.1875
"""TMA030019""",2,KT51,6.08333333333333
"""TMA073642""",1,KT21,6.5625
"""TMA073642""",2,KT11,6.5625
"""TMA073642""",3,KT31,6.5625
"""TMA073642""",4,CN2,6.5625
"""TMA015196""",1,KT21,7.9375
"""TMA015196""",2,CN2,7.9375
"""TMA015196""",3,KT12,7.9375
"""KTA081615""",1,KT31,6.875
"""KTA081615""",2,KT42,6.83333333333333
"""TMA065242""",1,CN3,7.1875
"""BKT054273""",1,KT31,7.125
"""BKT040543""",1,KT31,6.8125
"""BKT040543""",2,KT22,6.5625
"""BKT040543""",3,KT12,6.5625
"""BKT040543""",4,KT21,6.5625
"""KTA072962""",1,KT22,7.5625
"""KTA072962""",2,KT21,7.5625
"""KTA072962""",3,KT11,7.5625
"""TMA074821""",1,KT31,6.625
"""TMA074821""",2,CN1,6.625
"""TMA074821""",3,KT11,6.625
"""TMA074821""",4,KT22,6.625
"""SPB015946""",1,CN1,6.5625
"""SPB015946""",2,KT22,6.5625
"""SPB015946""",3,KQ3,6.08333333333333
"""KTA080171""",1,KT21,7.6875
"""KTA080171""",2,KT14,7.6875
